MOSCAP CV measurement data file.
Measurement comments:

DC bias (V)	Capacitance (F)	Quality factor
1,450000	9,322550E-11	4,635110
1,500000	9,105810E-11	4,953180
1,550000	8,902860E-11	5,313710
1,600000	8,714190E-11	5,720200
1,650000	8,538760E-11	6,171080
1,700000	8,374560E-11	6,675210
1,750000	8,219500E-11	7,243060
1,800000	8,075240E-11	7,867990
1,850000	7,937160E-11	8,570090
1,900000	7,806390E-11	9,365220
1,950000	7,681850E-11	10,246100
2,000000	7,564790E-11	11,249000
2,050000	7,453070E-11	12,387800
2,100000	7,346730E-11	13,680000
2,150000	7,243470E-11	15,057800
2,200000	7,140730E-11	16,356000
2,250000	7,042160E-11	17,773300
2,300000	6,948450E-11	19,384900
2,350000	6,858240E-11	21,171400
2,400000	6,771310E-11	23,075500
2,450000	6,686810E-11	25,148100
2,500000	6,603590E-11	27,454100
2,550000	6,524480E-11	29,781600
2,600000	6,447580E-11	32,291000
2,650000	6,372750E-11	34,877200
2,700000	6,299890E-11	37,548600
2,750000	6,229750E-11	40,253700
2,800000	6,165580E-11	42,723600
2,850000	6,100050E-11	45,393700
2,900000	6,036240E-11	48,194300
2,950000	5,975160E-11	50,953600
3,000000	5,917990E-11	53,674100
3,050000	5,863680E-11	56,271000
3,100000	5,810560E-11	58,504900
3,150000	5,759890E-11	60,506300
3,200000	5,712870E-11	62,335200
3,250000	5,663080E-11	65,035100
3,300000	5,613880E-11	66,966800
3,350000	5,570840E-11	68,746100
3,400000	5,528970E-11	70,262900
3,450000	5,488520E-11	71,726900
3,500000	5,449580E-11	73,247600
3,550000	5,412770E-11	74,523700
3,600000	5,390280E-11	74,435000
3,650000	5,362150E-11	75,945400
3,700000	5,326640E-11	77,391600
3,750000	5,295500E-11	78,707500
3,800000	5,270480E-11	79,416000
3,850000	5,245640E-11	80,534800
3,900000	5,222820E-11	81,588700
3,950000	5,201000E-11	82,595700
4,000000	5,181610E-11	83,916200
4,050000	5,160570E-11	85,508900
4,100000	5,101080E-11	89,337300
4,150000	5,077620E-11	88,549000
4,200000	5,058680E-11	89,163700
4,250000	5,040820E-11	88,487400
4,300000	5,024250E-11	86,404700
4,350000	5,008600E-11	86,040200
4,400000	5,004630E-11	83,514000
4,450000	5,085710E-11	84,387100
4,500000	5,069340E-11	87,356800
4,550000	5,051860E-11	88,209400
4,600000	5,043840E-11	91,452400
4,650000	5,038720E-11	91,758600
4,700000	5,036210E-11	92,897100
4,750000	5,034880E-11	93,085700
4,800000	4,928690E-11	101,719000
4,850000	4,911950E-11	99,849500
4,900000	4,906590E-11	103,768000
4,950000	4,907640E-11	146,674000
5,000000	4,938140E-11	338,819000
5,050000	4,968080E-11	263,980000
5,100000	5,049660E-11	245,724000
5,150000	5,033820E-11	264,103000
5,200000	5,006090E-11	262,870000
5,250000	4,989500E-11	286,861000
5,300000	4,971910E-11	302,310000
5,350000	4,963460E-11	287,878000
5,400000	4,902330E-11	390,799000
5,450000	4,891460E-11	366,638000
5,500000	4,889810E-11	368,763000
5,550000	4,888910E-11	391,011000
5,600000	4,887400E-11	396,534000
5,650000	4,878430E-11	384,029000
5,700000	4,894180E-11	281,666000
5,750000	5,039970E-11	221,935000
5,800000	5,060840E-11	221,099000
5,850000	5,056500E-11	218,968000
5,900000	5,043310E-11	223,290000
5,950000	5,023290E-11	183,225000
6,000000	5,032000E-11	154,691000
6,050000	5,036650E-11	131,781000
6,100000	5,038840E-11	117,422000
6,150000	5,043940E-11	108,231000
6,200000	5,048640E-11	100,279000
6,250000	5,052850E-11	96,971200
6,300000	4,842860E-11	98,759500
6,350000	4,841270E-11	93,071000
6,400000	4,844880E-11	90,438300
