MOSCAP CV measurement data file.
Measurement comments:


DC bias (V)	Capacitance (F)	Quality factor
8,450000	3,017330E-11	121,050000
8,500000	3,012590E-11	121,359000
8,550000	3,008260E-11	121,497000
8,600000	3,003900E-11	121,741000
8,650000	2,999650E-11	121,507000
8,700000	2,995190E-11	121,365000
8,750000	2,990720E-11	121,921000
8,800000	2,986850E-11	122,104000
8,850000	2,982520E-11	121,774000
8,900000	2,979190E-11	122,119000
8,950000	2,975490E-11	122,118000
9,000000	2,971480E-11	122,206000
9,050000	2,968830E-11	121,815000
9,100000	2,965460E-11	122,487000
9,150000	2,962250E-11	121,787000
9,200000	2,959940E-11	122,813000
9,250000	2,956800E-11	122,829000
9,300000	2,954530E-11	123,312000
9,350000	2,951730E-11	122,738000
9,400000	2,948620E-11	122,716000
9,450000	2,946180E-11	122,964000
9,500000	2,943500E-11	123,611000
9,550000	2,941110E-11	123,245000
9,600000	2,938650E-11	123,205000
9,650000	2,935890E-11	123,183000
9,700000	2,933820E-11	123,145000
9,750000	2,931280E-11	122,875000
9,800000	2,929360E-11	123,358000
9,850000	2,926890E-11	123,704000
9,900000	2,924860E-11	123,328000
9,950000	2,922930E-11	123,581000
10,000000	2,920670E-11	123,924000
